ID,DT_Dec,Year_Dec,Month_Dec,Day_Dec,DEC,Flag_Approved,Channel,Age,State,Income,Spend @M4,
1,02/12/2022,2022,12,2,A,1,TMK,64,Estado de Mexico," 1,091 ", 296 ,
2,03/12/2022,2022,12,3,A,1,ONLINE,36,," 1,091 "," 1,137 ",
3,03/12/2022,2022,12,3,A,1,F2F_Channel,44,," 1,939 ", 124 ,
4,07/12/2022,2022,12,7,A,1,TMK,52,Baja California," 1,152 ", 630 ,
5,05/12/2022,2022,12,5,A,1,ONLINE,36,Ciudad de Mexico," 2,121 "," 1,395 ",
6,07/12/2022,2022,12,7,A,1,ONLINE,36,Ciudad de Mexico," 1,212 ", 85 ,
7,07/12/2022,2022,12,7,A,1,ONLINE,47,, 909 , 596 ,
8,05/12/2022,2022,12,5,A,1,TMK,50,Michoacan de Ocampo," 1,364 ", 88 ,
9,01/12/2022,2022,12,1,A,1,ONLINE,33,," 6,667 "," 17,177 ",
10,16/12/2022,2022,12,16,A,1,TMK,34,Ciudad de Mexico," 1,818 ", 228 ,
11,06/12/2022,2022,12,6,A,1,TMK,48,," 3,030 "," 1,791 ",
12,01/12/2022,2022,12,1,A,1,F2F_Channel,45,," 3,030 ", 568 ,
13,01/12/2022,2022,12,1,A,1,ONLINE,87,," 60,606 "," 7,584 ",
14,02/12/2022,2022,12,2,A,1,ONLINE,51,," 1,818 ", 47 ,
15,02/12/2022,2022,12,2,A,1,F2F_Channel,47,," 2,121 ", 435 ,
16,10/12/2022,2022,12,10,A,1,ONLINE,46,Coahuila de Zaragoza," 7,273 "," 4,070 ",
17,10/12/2022,2022,12,10,A,1,ONLINE,37,Ciudad de Mexico," 1,273 "," 1,323 ",
18,20/12/2022,2022,12,20,A,1,TMK,50,Jalisco," 1,788 ", 75 ,
19,13/12/2022,2022,12,13,A,1,TMK,56,Michoacan de Ocampo," 1,212 ", 873 ,
20,28/12/2022,2022,12,28,A,1,ONLINE,54,Morelos," 9,091 ", 526 ,
21,20/12/2022,2022,12,20,A,1,TMK,32,Sonora, 933 , 322 ,
22,28/12/2022,2022,12,28,A,1,ONLINE,33,Sinaloa," 1,091 ", 122 ,
23,28/12/2022,2022,12,28,A,1,ONLINE,57,Sonora," 2,424 ", 190 ,
24,14/12/2022,2022,12,14,A,1,ONLINE,39,Estado de Mexico," 1,515 "," 1,071 ",
25,21/12/2022,2022,12,21,A,1,ONLINE,61,Baja California Sur," 18,182 "," 1,160 ",
26,03/12/2022,2022,12,3,A,1,ONLINE,36,," 6,061 "," 1,060 ",
27,14/12/2022,2022,12,14,A,1,TMK,48,Morelos," 1,818 ", 756 ,
28,12/12/2022,2022,12,12,A,1,TMK,38,Sonora," 1,697 ", 133 ,
29,21/12/2022,2022,12,21,A,1,ONLINE,31,Queretaro," 1,212 ", 301 ,
30,29/12/2022,2022,12,29,A,1,ONLINE,40,Estado de Mexico," 2,352 ", 915 ,
31,21/12/2022,2022,12,21,A,1,TMK,59,Jalisco, 909 , 630 ,
32,12/12/2022,2022,12,12,A,1,TMK,36,Veracruz de Ignacio de la Llave," 1,515 ", 89 ,
33,30/12/2022,2022,12,30,A,1,ONLINE,34,Estado de Mexico," 1,515 ", 241 ,
34,12/12/2022,2022,12,12,A,1,ONLINE,42,Queretaro," 1,818 "," 1,180 ",
35,05/12/2022,2022,12,5,A,1,TMK,53,Tamaulipas, 970 , 49 ,
36,12/12/2022,2022,12,12,A,1,TMK,37,Queretaro," 3,030 "," 1,000 ",
37,12/12/2022,2022,12,12,A,1,TMK,44,Guanajuato, 909 , 249 ,
38,14/12/2022,2022,12,14,A,1,ONLINE,42,Queretaro," 2,424 "," 4,930 ",
