State,Distribution_Business
Baja California,126088
Baja California Sur,35823
Sonora,118981
Chihuahua,128287
Coahuila,114519
Nuevo leon,186272
Tamaulipas,132945
Sinaloa,123644
Durango,66754
Zacatecas,69362
San Luis Potosi,113475
Veracruz de Ignacio de la Llave,326793
Nayarit,66209
Jalisco,378439
Guanajuato,272541
Queretaro,94521
Hidalgo,139294
Puebla,343634
Colima,38535
Michoacan de Ocampo,260310
Estado de Mexico,700599
Tlaxcala,82520
Puebla,343634
Ciudad de Mexico,474323
Morelos,111435
Guerrero,169780
Oaxaca,250905
Chiapas,218872
Tabasco,86028
Campeche,41612
Yucatan,130390
Quitana Roo,66316
