CITY ,TOWN,Population,CSI_Violent,%_CHNG_Violent,CSI_NoViolent,%_CHNG_NoViolent
Toronto,ON,"2,794,396",88.3,-2.40%,45.2,-1.60%
Montréal,QC,"1,762,949",105.3,14.60%,59.9,2.70%
Calgary,AB,"1,305,550",86,6.50%,70,-13.90%
Ottawa,ON,"1,017,449",64.3,13.80%,45,-0.30%
Edmonton,AB,"981,280",123.8,-3.80%,99.6,-10.50%
Winnipeg,MB,"758,515",168.3,1.70%,100.3,-5.70%
Québec,QC,"733,156",69.6,8.20%,40.9,-0.40%
Vancouver,BC,"675,218",98.9,-0.60%,86.8,-18.00%
Waterloo Region (Kitchener),ON,"522,888",86.6,1.70%,76.6,7.80%
Surrey,BC,"518,467",85.2,-8.00%,86.1,-9.90%
London,ON,"423,369",106.4,41.00%,82,-1.00%
Halifax Metropolitan Area,NS,"348,634",91.7,8.30%,56.2,4.60%
Durham Region (Oshawa/Whitby/Ajax),ON,"335,949",51.8,4.60%,39,3.70%
Windsor,ON,"306,519",93.6,4.90%,95.1,9.40%
Gatineau,QC,"291,041",77,0.90%,44.6,-5.30%
Burnaby,BC,"270,204",68.4,7.50%,77.6,-6.70%
Saskatoon,SK,"264,637",138.9,0.80%,111.7,0.60%
Richmond,BC,"230,584",66.2,18.30%,121.2,-5.50%
Regina,SK,"224,996",150.9,10.40%,104.3,3.30%
St. John's,NL,"185,565",98.2,18.20%,56.8,-1.00%
Kelowna,BC,"181,380",124.3,6.50%,148,5.60%
"Codiac Region (Moncton, Riverview, Dieppe)",NB,"171,608",103.7,15.00%,134.5,8.50%
Greater Sudbury,ON,"165,958",127.2,13.10%,68.8,-13.20%
Barrie,ON,"154,676",65.3,7.20%,54.6,8.00%
Sherbrooke,QC,"151,157",79.2,7.30%,42.8,4.50%
Guelph,ON,"144,356",51.6,-22.30%,60.5,-2.40%
Niagara Region (St. Catharines),ON,"140,370",64.2,9.30%,61.2,4.40%
Langley Township,BC,"137,399",79.8,5.00%,77.2,-12.10%
Kingston,ON,"136,685",86.8,9.50%,82.9,2.20%
Abbotsford,BC,"132,300",82.5,3.30%,68.9,1.70%
Trois-Rivières,QC,"128,057",79.5,5.60%,42.4,9.40%
Hamilton,ON,"124,579",94,0.30%,57.7,2.40%
White Rock,BC,"109,167",74.1,-1.60%,87.1,-9.20%
Delta,BC,"108,455",50.1,8.50%,60.2,-1.00%
Nanaimo,BC,"106,079",146,44.10%,123.5,-0.90%
Chatham-Kent,ON,"105,529",79.7,32.40%,76.3,-10.60%
Brantford,ON,"104,413",104,-9.00%,79.9,-1.50%
Red Deer,AB,"99,846",175.7,19.00%,176.2,-2.10%
Thunder Bay,ON,"95,266",180.7,10.30%,77.3,2.10%
Lethbridge,AB,"92,563",133.8,7.10%,154,-9.50%
Kamloops,BC,"92,442",132.9,7.50%,135.9,3.10%
Victoria,BC,"92,141",183.1,21.60%,135.6,-20.20%
Sudbury,ON,"92,093",54.7,-2.00%,46.5,-22.90%
Saint-Jean-sur-Richelieu,QC,"88,083",70.5,27.10%,33.1,18.40%
Peterborough,ON,"84,793",102.6,1.50%,67.8,7.40%
Chilliwack,BC,"81,622",144.1,-4.30%,128.2,-5.10%
New Westminster,BC,"81,044",102.2,27.70%,82.7,-0.50%
Belleville,ON,"75,052",103.2,36.70%,72.7,3.70%
Sarnia,ON,"73,944",114,26.30%,81.2,10.60%
Airdrie,AB,"73,578",83.7,-28.10%,136.4,-5.90%
Leeds County (Brockville),ON,"69,819",63.1,26.50%,44.1,-18.70%
