date,INDINF_CPI_M,INDINF_LOWTARGET,INDINF_UPPTARGET
1/1/1993,2,1.972223,3.972223
2/1/1993,2.4,1.944445,3.944445
3/1/1993,1.9,1.916667,3.916667
4/1/1993,1.8,1.88889,3.888889
5/1/1993,1.9,1.861112,3.861111
6/1/1993,1.7,1.833334,3.833333
7/1/1993,1.7,1.805556,3.805556
8/1/1993,1.8,1.777778,3.777778
9/1/1993,1.8,1.750001,3.75
10/1/1993,1.9,1.722223,3.722222
11/1/1993,1.9,1.694445,3.694444
12/1/1993,1.7,1.666667,3.666666
1/1/1994,1.3,1.638889,3.638888
2/1/1994,0.1,1.611112,3.61111
3/1/1994,0.2,1.583334,3.583332
4/1/1994,0.2,1.555556,3.555554
5/1/1994,-0.2,1.527778,3.527776
6/1/1994,0,1.5,3.499999
7/1/1994,0.1,1.472223,3.472221
8/1/1994,0.1,1.444445,3.444443
9/1/1994,0.2,1.416667,3.416666
10/1/1994,-0.2,1.388889,3.388888
11/1/1994,-0.1,1.361112,3.36111
12/1/1994,0.2,1.333334,3.333333
1/1/1995,0.6,1.305556,3.305555
2/1/1995,1.9,1.277778,3.277777
3/1/1995,2.1,1.25,3.25
4/1/1995,2.5,1.222223,3.222222
5/1/1995,2.9,1.194445,3.194444
6/1/1995,2.7,1.166667,3.166667
7/1/1995,2.6,1.138889,3.138889
8/1/1995,2.2,1.111111,3.111111
9/1/1995,2.2,1.083334,3.083333
10/1/1995,2.3,1.055556,3.055556
11/1/1995,2.1,1.027778,3.027778
12/1/1995,1.7,1,3
1/1/1996,1.6,1,3
2/1/1996,1.3,1,3
3/1/1996,1.5,1,3
4/1/1996,1.4,1,3
5/1/1996,1.5,1,3
6/1/1996,1.5,1,3
7/1/1996,1.3,1,3
8/1/1996,1.5,1,3
9/1/1996,1.5,1,3
10/1/1996,1.8,1,3
11/1/1996,1.9,1,3
12/1/1996,2.2,1,3
1/1/1997,2.2,1,3
2/1/1997,2.3,1,3
3/1/1997,1.9,1,3
4/1/1997,1.7,1,3
5/1/1997,1.5,1,3
6/1/1997,1.7,1,3
7/1/1997,1.7,1,3
8/1/1997,1.8,1,3
9/1/1997,1.7,1,3
10/1/1997,1.5,1,3
11/1/1997,0.9,1,3
12/1/1997,0.8,1,3
1/1/1998,1.1,1,3
2/1/1998,1,1,3
3/1/1998,1,1,3
4/1/1998,0.9,1,3
5/1/1998,1.1,1,3
6/1/1998,1,1,3
7/1/1998,1,1,3
8/1/1998,0.9,1,3
9/1/1998,0.7,1,3
10/1/1998,1.1,1,3
11/1/1998,1.2,1,3
12/1/1998,1,1,3
1/1/1999,0.7,1,3
2/1/1999,0.7,1,3
3/1/1999,1,1,3
4/1/1999,1.6,1,3
5/1/1999,1.5,1,3
6/1/1999,1.6,1,3
7/1/1999,1.9,1,3
8/1/1999,2.1,1,3
9/1/1999,2.6,1,3
10/1/1999,2.3,1,3
11/1/1999,2.2,1,3
12/1/1999,2.6,1,3
1/1/2000,2.2,1,3
2/1/2000,2.7,1,3
3/1/2000,3,1,3
4/1/2000,2.2,1,3
5/1/2000,2.4,1,3
6/1/2000,2.8,1,3
7/1/2000,2.9,1,3
8/1/2000,2.6,1,3
9/1/2000,2.7,1,3
10/1/2000,2.8,1,3
11/1/2000,3.2,1,3
12/1/2000,3.2,1,3
1/1/2001,3,1,3
2/1/2001,2.9,1,3
3/1/2001,2.4,1,3
4/1/2001,3.5,1,3
5/1/2001,3.9,1,3
6/1/2001,3.4,1,3
7/1/2001,2.7,1,3
8/1/2001,2.8,1,3
9/1/2001,2.6,1,3
10/1/2001,1.9,1,3
11/1/2001,0.6,1,3
12/1/2001,0.7,1,3
1/1/2002,1.3,1,3
2/1/2002,1.4,1,3
3/1/2002,1.9,1,3
4/1/2002,1.7,1,3
5/1/2002,1.1,1,3
6/1/2002,1.2,1,3
7/1/2002,2.1,1,3
8/1/2002,2.5,1,3
9/1/2002,2.3,1,3
10/1/2002,3.2,1,3
11/1/2002,4.4,1,3
12/1/2002,3.8,1,3
1/1/2003,4.5,1,3
2/1/2003,4.7,1,3
3/1/2003,4.2,1,3
4/1/2003,2.9,1,3
5/1/2003,2.8,1,3
6/1/2003,2.6,1,3
7/1/2003,2.1,1,3
8/1/2003,2,1,3
9/1/2003,2.2,1,3
10/1/2003,1.6,1,3
11/1/2003,1.6,1,3
12/1/2003,2.1,1,3
1/1/2004,1.3,1,3
2/1/2004,0.7,1,3
3/1/2004,0.8,1,3
4/1/2004,1.7,1,3
5/1/2004,2.4,1,3
6/1/2004,2.5,1,3
7/1/2004,2.3,1,3
8/1/2004,1.8,1,3
9/1/2004,1.8,1,3
10/1/2004,2.3,1,3
11/1/2004,2.4,1,3
12/1/2004,2.1,1,3
1/1/2005,1.9,1,3
2/1/2005,2.1,1,3
3/1/2005,2.3,1,3
4/1/2005,2.4,1,3
5/1/2005,1.6,1,3
6/1/2005,1.7,1,3
7/1/2005,2,1,3
8/1/2005,2.6,1,3
9/1/2005,3.2,1,3
10/1/2005,2.6,1,3
11/1/2005,2,1,3
12/1/2005,2.1,1,3
1/1/2006,2.8,1,3
2/1/2006,2.2,1,3
3/1/2006,2.2,1,3
4/1/2006,2.4,1,3
5/1/2006,2.8,1,3
6/1/2006,2.4,1,3
7/1/2006,2.3,1,3
8/1/2006,2.1,1,3
9/1/2006,0.7,1,3
10/1/2006,1,1,3
11/1/2006,1.4,1,3
12/1/2006,1.7,1,3
1/1/2007,1.1,1,3
2/1/2007,2,1,3
3/1/2007,2.3,1,3
4/1/2007,2.2,1,3
5/1/2007,2.2,1,3
6/1/2007,2.2,1,3
7/1/2007,2.2,1,3
8/1/2007,1.7,1,3
9/1/2007,2.5,1,3
10/1/2007,2.4,1,3
11/1/2007,2.5,1,3
12/1/2007,2.4,1,3
