City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
St. John's, Newfoundland and Labrador,458,451,462,479,488,499,492,497,500,494,496,484,473,495,504,523,542,542,556,567,574,585,617,656,687,716,754,768,804,819,809,819,850,852
Charlottetown, Prince Edward Island,367,369,384,390,393,418,416,415,428,427,435,440,438,445,453,468,472,495,491,510,530,545,567,582,610,641,658,679,696,718,750,770,793,834
Cape Breton, Nova Scotia,308,317,343,343,377,405,395,402,402,401,408,427,442,452,449,446,482,495,477,523,511,526,540,553,568,593,614,651,637,643,652,677,710,713
Halifax, Nova Scotia,438,453,467,485,507,506,511,512,513,512,512,517,527,545,559,579,597,616,629,652,663,687,714,737,758,778,788,807,840,851,887,910,968,1023
Campbellton, New Brunswick part,F,308,317,324,339,342,349,345,346,358,358,369,358,362,371,369,372,385,384,408,405,423,431,443,453,452,464,464,479,495,506,513,535,547
Fredericton, New Brunswick,406,414,424,435,467,472,468,476,479,494,493,488,501,512,532,536,541,552,577,593,608,604,612,629,644,670,672,701,699,725,736,772,814,842
Moncton, New Brunswick,354,369,368,389,407,419,423,427,425,432,441,443,452,459,462,482,497,515,522,556,547,553,590,589,603,634,640,658,650,692,693,720,750,790
Drummondville, Quebec,285,302,310,316,326,335,344,345,351,345,359,369,379,387,383,402,402,418,438,441,454,505,494,500,498,474,488,491,512,513,516,526,555,585
Ottawa-Gatineau, Quebec part,438,460,476,503,534,562,578,586,589,585,589,599,621,698,739,740,744,748,741,750,771,801,826,848,867,888,899,905,939,948,983,1045,1130,1188
Joliette, Quebec,286,306,320,325,328,348,337,337,342,350,368,355,361,362,367,417,384,409,433,433,437,441,459,472,477,488,499,504,526,520,539,549,554,566
Montréal, Quebec,371,395,429,440,449,443,443,439,447,450,448,454,470,477,497,531,553,567,586,600,604,619,629,653,665,659,676,693,712,719,736,764,794,860
Québec, Quebec,405,403,432,440,463,459,459,450,454,454,457,460,467,477,496,506,524,544,559,577,568,579,598,615,630,640,651,665,682,703,720,735,763,795
Rimouski, Quebec,372,368,368,387,395,404,398,420,409,424,429,434,422,414,414,425,433,443,447,465,468,481,497,509,513,523,F,538,530,552,542,550,563,570
Saint-Hyacinthe, Quebec,311,320,330,338,347,347,349,355,360,359,364,360,362,372,385,391,408,410,425,426,453,461,481,475,496,487,496,517,523,542,559,579,574,639
Saint-Jean-sur-Richelieu, Quebec,297,301,336,352,369,362,348,341,348,359,338,348,355,363,364,402,402,444,418,413,452,451,471,489,504,492,633,518,535,554,F,F,F,0
Saguenay, Quebec,330,331,340,384,418,368,378,379,377,374,377,377,368,375,373,382,385,389,399,417,416,425,441,443,465,457,471,492,494,487,495,502,521,529
Shawinigan, Quebec,261,265,276,285,293,300,305,301,298,310,306,305,306,314,314,312,323,327,326,337,347,364,372,374,389,378,374,385,386,391,407,406,408,407
Sherbrooke, Quebec,311,316,329,346,351,359,349,354,362,364,356,371,365,366,369,374,391,398,413,428,433,446,455,462,474,476,481,499,497,517,523,531,544,571
Trois-Rivières, Quebec,335,338,346,335,344,362,353,358,364,386,372,361,360,365,370,387,397,405,414,433,418,424,436,449,457,453,451,457,471,480,493,492,527,525
Barrie, Ontario,442,485,518,535,561,573,584,602,619,626,635,681,685,718,766,758,801,799,801,822,827,878,839,867,902,902,924,1008,1033,1036,1058,1177,1185,1212
Belleville, Ontario,440,440,465,463,518,524,548,543,557,563,553,555,569,566,574,596,620,633,646,671,698,707,730,719,750,785,795,808,826,868,900,942,1010,1079
Brantford, Ontario,384,395,419,437,480,505,519,530,568,543,548,575,562,577,604,597,630,635,663,640,678,675,687,696,729,730,751,785,782,839,872,904,974,1057
Brockville, Ontario,347,386,399,410,429,460,481,493,520,514,518,517,511,527,530,532,549,551,560,577,583,608,619,634,652,671,703,720,727,784,764,786,818,925
Cornwall, Ontario,392,388,397,424,447,477,484,490,497,494,485,500,504,494,499,511,529,541,571,565,587,585,601,612,632,647,648,666,681,717,759,749,782,824
Greater Sudbury, Ontario,365,386,401,430,479,510,524,522,518,525,536,532,519,534,524,549,554,559,576,613,650,692,712,725,735,770,777,784,803,809,885,892,944,971
Guelph, Ontario,403,422,456,491,496,539,540,561,572,582,591,598,613,652,672,713,710,733,738,748,747,770,775,787,801,834,849,875,905,962,985,1036,1150,1217
Hamilton, Ontario,361,383,406,433,458,470,490,500,512,509,523,543,566,587,613,630,637,644,652,648,670,686,684,710,729,739,770,796,836,875,910,975,1027,1103
Huntsville, Ontario,F,F,415,425,466,476,486,488,518,521,538,540,533,563,575,616,591,632,630,627,665,712,742,772,761,799,822,855,F,857,943,913,954,1034
Kingston, Ontario,391,404,429,461,486,504,523,526,529,539,546,548,556,574,608,616,640,658,669,709,720,754,764,798,806,849,876,914,930,962,1004,1031,1120,1154
Kitchener-Cambridge-Waterloo, Ontario,366,386,418,443,469,495,498,502,515,529,540,549,570,603,620,642,650,655,682,693,694,716,727,745,757,778,815,820,855,877,923,1030,1053,1084
London, Ontario,387,405,419,447,469,479,501,515,524,518,517,522,527,536,554,574,595,611,628,637,658,678,716,709,719,757,762,778,790,811,852,889,928,1013
Oshawa, Ontario,445,484,526,536,566,568,575,590,610,622,609,645,653,691,698,718,758,755,758,762,775,792,792,808,825,844,882,891,910,988,1050,1182,1176,1193
Peterborough, Ontario,419,433,461,496,529,552,564,575,571,584,581,594,593,584,617,624,632,694,710,713,722,732,765,764,787,789,797,824,836,856,870,942,960,1006
St. Catharines-Niagara, Ontario,378,395,417,450,478,500,509,519,520,520,526,535,549,567,590,608,617,632,642,659,669,680,706,712,728,745,759,771,792,834,855,905,947,997
Sarnia, Ontario,379,389,417,445,463,472,504,520,517,495,504,507,507,508,519,549,570,587,615,638,606,639,635,644,658,710,736,765,764,809,823,858,897,962
Sault Ste. Marie, Ontario,393,415,432,456,473,507,511,525,531,537,528,530,530,532,528,523,517,515,537,556,578,592,614,615,600,654,696,715,744,753,776,819,787,802
Stratford, Ontario,353,387,396,423,431,452,480,487,519,515,542,554,525,547,558,572,581,587,603,616,620,628,629,645,645,674,684,685,712,735,757,797,823,909
Thunder Bay, Ontario,399,423,442,476,499,512,544,543,543,553,548,545,545,545,550,553,576,567,577,593,604,610,627,645,664,699,731,759,769,782,794,840,878,907
Toronto, Ontario,470,494,528,557,590,609,626,641,660,674,686,730,770,832,869,893,885,887,889,897,901,928,928,952,979,1009,1033,1069,1103,1134,1197,1263,1363,1424
Windsor, Ontario,428,412,447,485,496,510,518,537,560,568,571,581,590,609,626,648,662,662,662,661,654,655,631,636,636,658,667,675,699,717,734,786,852,917
Brandon, Manitoba,364,383,389,394,398,407,421,416,421,432,433,438,440,444,448,456,472,474,484,487,500,510,531,547,562,577,F,602,638,638,672,691,698,728
Winnipeg, Manitoba,382,401,415,423,430,440,440,445,448,444,449,455,458,477,479,493,512,522,541,560,580,605,617,651,680,706,753,786,816,839,884,923,962,996
Prince Albert, Saskatchewan,361,363,355,360,366,365,370,374,378,394,402,413,396,428,439,441,455,462,465,469,513,569,586,651,698,724,747,787,797,757,786,792,806,806
Regina, Saskatchewan,389,388,393,391,393,393,402,395,399,408,428,437,460,463,477,481,491,504,507,516,555,636,693,744,792,833,877,906,920,929,937,937,930,952
Saskatoon, Saskatchewan,366,368,365,363,366,366,367,373,381,394,411,427,436,443,461,462,471,473,479,498,566,678,743,768,791,820,849,888,898,912,901,915,934,961
Calgary, Alberta,384,395,427,458,473,478,472,468,466,475,513,578,602,614,653,660,665,658,669,786,902,956,918,897,903,961,1042,1137,1126,1053,1027,1052,1082,1090
Edmonton, Alberta,374,376,386,414,433,443,441,432,423,421,429,450,468,490,537,576,589,597,609,667,784,848,842,844,858,883,935,1002,1031,1001,990,1018,1029,1031
Grande Prairie, Alberta,389,396,406,434,440,431,432,460,495,496,526,550,552,554,585,609,613,646,681,826,952,826,800,714,764,859,944,987,990,840,845,944,984,F
High River, Alberta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,686,707,742,737,772,F,887,845,811,826,868,882,898
Lethbridge, Alberta,390,394,419,426,459,451,457,458,466,457,457,472,489,504,523,525,534,545,543,592,632,719,742,737,767,778,755,777,805,839,842,877,923,947
Medicine Hat, Alberta,304,305,315,321,326,346,347,361,366,367,372,377,391,405,434,448,450,462,483,515,556,573,586,586,589,611,632,699,729,733,757,767,792,814
Red Deer, Alberta,377,379,388,413,429,441,438,446,441,443,437,462,485,501,533,541,544,548,559,614,706,740,728,709,698,737,799,844,872,850,843,864,866,852
Abbotsford-Mission, British Columbia,345,357,383,451,466,476,487,502,499,502,500,501,499,507,517,530,537,546,560,582,610,627,646,655,664,661,677,685,712,744,766,832,931,958
Chilliwack, British Columbia,324,367,395,432,426,446,459,477,482,467,463,460,457,462,476,490,498,508,521,F,574,589,601,605,609,626,629,636,646,680,736,793,832,856
Courtenay, British Columbia,310,319,361,405,451,466,475,491,495,489,472,471,460,456,454,460,472,486,505,526,556,592,607,641,648,665,F,694,704,717,727,767,835,1041
Kelowna, British Columbia,347,416,368,406,434,468,494,510,522,523,521,510,518,523,541,560,576,589,616,662,715,803,738,741,736,751,778,788,799,864,937,1003,1095,1145
Nanaimo, British Columbia,296,322,363,425,450,465,484,498,503,501,497,481,459,463,475,490,504,518,543,564,581,615,630,649,662,666,687,701,725,761,809,887,947,1011
Vancouver, British Columbia,441,472,526,566,587,596,614,626,641,661,673,677,685,695,727,744,760,775,788,817,847,881,921,941,965,983,1006,1040,1080,1161,1226,1309,1385,1418
Victoria, British Columbia,379,399,440,488,525,544,560,569,568,570,571,570,576,580,594,608,620,631,659,682,717,765,788,806,819,827,832,848,866,911,990,1080,1133,1192
Whitehorse, Yukon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Yellowknife, Northwest Territories,..,..,..,..,..,..,..,..,..,..,..,838,822,853,930,1000,1047,1060,1069,1122,1129,1178,1255,1274,1343,1405,1413,1394,1407,1401,1453,1449,1516,1528
