City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
St. John's, Newfoundland and Labrador,538,516,535,544,570,575,562,566,571,579,576,520,522,560,585,598,617,634,648,651,621,640,674,734,779,803,871,897,935,986,963,991,980,997
Charlottetown, Prince Edward Island,448,457,472,492,514,519,528,529,532,529,536,537,539,547,569,571,594,616,621,642,662,676,704,733,764,808,808,840,832,876,901,922,936,983
Cape Breton, Nova Scotia,401,401,424,427,465,474,474,487,491,501,498,520,537,542,546,555,573,593,579,615,621,642,673,691,736,757,760,790,781,774,795,815,847,826
Halifax, Nova Scotia,527,537,551,576,604,602,611,616,621,622,622,636,643,653,679,710,727,751,765,799,820,831,880,898,932,960,984,1013,1056,1072,1115,1162,1209,1264
Campbellton, New Brunswick part,F,F,F,413,432,434,443,442,450,471,469,471,471,470,479,493,496,500,500,530,543,543,553,559,573,582,583,594,598,608,614,631,639,633
Fredericton, New Brunswick,460,466,492,507,535,543,549,559,563,567,568,582,586,601,623,637,654,674,690,709,712,707,729,745,758,779,794,820,842,850,889,907,963,989
Moncton, New Brunswick,411,426,434,457,465,477,490,503,513,522,532,539,548,574,572,588,597,619,620,644,652,665,685,701,727,738,749,772,768,809,815,842,884,966
Drummondville, Quebec,320,343,350,364,382,386,393,388,396,395,404,408,415,427,427,463,467,483,481,478,504,537,535,538,540,541,553,558,576,574,584,618,648,663
Ottawa-Gatineau, Quebec part,538,559,579,607,636,659,679,688,687,689,679,698,721,800,834,849,858,869,851,866,882,913,942,958,992,1007,1024,1030,1059,1078,1106,1165,1266,1344
Joliette, Quebec,323,332,342,354,371,378,384,379,388,390,397,394,410,408,411,442,431,452,479,483,514,504,543,557,564,583,597,604,613,631,645,673,697,703
Montréal, Quebec,404,439,468,475,490,499,498,497,505,504,503,512,521,527,547,575,594,614,633,651,661,675,685,715,734,724,742,761,778,792,801,830,873,928
Québec, Quebec,440,451,473,485,506,515,517,517,528,524,528,528,527,532,554,566,581,615,637,653,656,667,691,708,736,757,774,789,803,823,836,855,882,922
Rimouski, Quebec,410,415,423,434,446,459,467,478,483,497,504,501,498,501,501,502,520,527,537,546,573,586,609,613,634,659,F,692,671,676,693,693,691,706
Saint-Hyacinthe, Quebec,349,363,383,398,415,419,430,425,433,436,436,436,433,438,451,463,504,515,513,507,561,565,571,580,590,606,614,621,635,655,685,691,696,816
Saint-Jean-sur-Richelieu, Quebec,343,358,390,404,415,420,410,419,417,427,418,421,427,433,442,458,491,509,523,535,541,561,586,593,594,614,646,641,647,664,F,F,F,0
Saguenay, Quebec,398,390,404,422,445,458,457,441,440,447,449,454,448,458,454,452,470,474,482,495,507,523,526,540,554,547,569,581,594,589,598,611,629,655
Shawinigan, Quebec,273,280,292,296,303,308,318,323,326,328,333,335,336,345,347,348,356,360,363,367,374,394,409,425,436,416,432,443,433,444,450,464,468,474
Sherbrooke, Quebec,356,373,385,395,405,413,422,424,426,429,429,436,436,440,448,455,466,488,504,518,528,545,558,569,577,584,592,610,611,625,640,646,662,682
Trois-Rivières, Quebec,358,359,367,379,395,408,411,412,416,414,414,421,411,419,429,437,438,455,474,479,478,493,502,513,530,528,531,544,563,560,572,582,600,614
Barrie, Ontario,503,562,593,630,660,659,678,694,720,721,745,784,798,842,893,887,948,929,921,915,944,965,972,980,1012,1049,1061,1133,1186,1165,1217,1349,1353,1412
Belleville, Ontario,481,498,519,551,602,617,626,623,629,629,630,637,639,650,661,677,698,714,730,756,780,802,819,818,847,873,901,903,929,967,1020,1045,1123,1178
Brantford, Ontario,434,441,472,485,546,550,584,608,613,622,625,634,630,656,669,684,701,703,751,738,772,775,767,806,824,876,867,890,904,954,1007,1052,1088,1174
Brockville, Ontario,436,461,473,486,518,546,563,581,599,596,597,595,594,596,599,613,631,642,654,668,700,712,727,747,761,772,793,821,840,890,866,877,923,997
Cornwall, Ontario,477,496,515,528,556,584,586,597,609,612,608,598,605,611,618,626,636,645,684,671,692,692,711,729,736,758,777,803,808,823,885,875,917,954
Greater Sudbury, Ontario,469,451,468,506,571,611,629,623,636,640,634,641,634,638,641,667,673,675,689,728,777,820,849,863,904,938,935,947,972,1013,1070,1079,1154,1175
Guelph, Ontario,459,480,521,564,581,621,630,645,647,662,683,690,706,742,769,806,828,833,833,843,853,872,878,891,904,944,959,992,1030,1084,1130,1164,1293,1361
Hamilton, Ontario,435,467,491,522,548,574,599,604,617,629,640,665,701,722,743,769,782,790,794,798,827,839,833,865,887,886,934,963,1039,1040,1107,1159,1220,1294
Huntsville, Ontario,F,F,F,532,560,588,605,615,642,656,659,680,683,702,715,746,749,787,822,819,848,887,863,927,934,958,926,957,1010,975,1025,1067,1136,1238
Kingston, Ontario,460,484,511,540,578,600,623,630,639,660,649,659,663,684,713,733,770,788,809,844,858,885,918,947,971,1009,1064,1075,1103,1132,1174,1214,1302,1342
Kitchener-Cambridge-Waterloo, Ontario,434,462,495,520,567,597,601,594,619,627,634,644,663,702,726,755,758,769,816,830,834,849,860,876,894,913,958,981,1003,1058,1102,1223,1241,1306
London, Ontario,478,500,520,549,577,602,624,637,647,650,645,646,645,665,693,714,747,770,787,802,829,845,910,881,894,935,940,956,978,1018,1059,1105,1124,1226
Oshawa, Ontario,504,540,567,605,643,654,662,662,694,704,695,732,752,784,806,827,852,859,861,866,882,895,905,907,947,944,992,1016,1041,1119,1190,1259,1275,1362
Peterborough, Ontario,485,526,555,586,627,637,662,665,666,674,656,691,704,702,722,740,749,798,820,837,846,874,896,911,923,923,935,974,981,999,1007,1103,1126,1205
St. Catharines-Niagara, Ontario,433,457,492,527,560,586,601,610,610,621,626,633,647,668,695,713,721,741,754,770,781,791,822,833,849,881,893,912,933,983,1017,1062,1120,1166
Sarnia, Ontario,445,457,478,514,539,540,593,608,610,581,583,577,605,609,620,639,665,678,695,707,702,734,742,750,769,809,826,883,981,1008,1021,1034,1006,1167
Sault Ste. Marie, Ontario,456,485,500,546,569,596,602,616,624,634,626,624,627,627,625,622,616,617,638,654,677,693,712,718,732,777,817,838,855,893,919,984,931,949
Stratford, Ontario,421,456,475,506,540,551,570,577,591,600,611,625,620,648,670,675,692,693,728,741,746,755,760,781,784,805,827,835,862,879,915,958,1002,1088
Thunder Bay, Ontario,508,536,560,581,615,636,656,676,676,690,681,665,665,673,668,673,686,695,704,711,726,731,755,772,787,836,875,904,931,950,962,1050,1093,1109
Toronto, Ontario,567,599,642,683,725,749,770,782,803,817,819,879,911,982,1029,1045,1042,1052,1050,1065,1057,1093,1089,1118,1148,1180,1210,1249,1283,1326,1400,1468,1562,1636
Windsor, Ontario,523,528,553,618,628,646,658,666,692,702,701,705,721,764,772,798,811,806,809,806,802,800,773,785,780,806,816,827,851,884,898,950,986,1083
Brandon, Manitoba,457,465,481,490,501,508,522,521,530,538,543,537,545,553,562,567,580,588,602,613,623,638,670,690,707,752,F,815,840,857,866,876,918,957
