Area,Province,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Revision_Date_Date_revision
Legislators,NA,National,23899,67684,142825,2019-11-04
Legislators,NL,Newfoundland and Labrador,44335,96129,155370,2019-11-04
Legislators,NL,Avalon Peninsula,,,,2019-11-04
Legislators,NL,South Coast--Burin Peninsula,,,,2019-11-04
Legislators,NL,West Coast--Northern Peninsula--Labrador,,,,2019-11-04
Legislators,NL,Notre Dame--Central Bonavista Bay,,,,2019-11-04
Legislators,PE,Prince Edward Island,,,,2019-11-04
Legislators,NS,Nova Scotia,26638,89651,143890,2019-11-04
Legislators,NS,Cape Breton,,,,2019-11-04
Legislators,NS,North Shore,,,,2019-11-04
Legislators,NS,Annapolis Valley,,,,2019-11-04
Legislators,NS,Southern,,,,2019-11-04
Legislators,NS,Halifax,,,,2019-11-04
Legislators,NB,New Brunswick,24219,76008,142341,2019-11-04
Legislators,NB,Campbellton--Miramichi,,,,2019-11-04
Legislators,NB,Moncton--Richibucto,,,,2019-11-04
Legislators,NB,Saint John--St. Stephen,,,,2019-11-04
Legislators,NB,Fredericton--Oromocto,,,,2019-11-04
Legislators,NB,Edmundston--Woodstock,,,,2019-11-04
Legislators,QC,Québec,26195,68237,129479,2019-11-04
Legislators,QC,Gaspésie--Îles-de-la-Madeleine,,,,2019-11-04
Legislators,QC,Bas-Saint-Laurent,,,,2019-11-04
Legislators,QC,Capitale-Nationale,,,,2019-11-04
Legislators,QC,Chaudière-Appalaches,,,,2019-11-04
Legislators,QC,Estrie,,,,2019-11-04
Legislators,QC,Centre-du-Québec,,,,2019-11-04
Legislators,QC,Montérégie,,,,2019-11-04
Legislators,QC,Montréal,,,,2019-11-04
Legislators,QC,Laval,,,,2019-11-04
Legislators,QC,Lanaudière,,,,2019-11-04
Legislators,QC,Laurentides,,,,2019-11-04
Legislators,QC,Outaouais,,,,2019-11-04
Legislators,QC,Abitibi-Témiscamingue,,,,2019-11-04
Legislators,QC,Mauricie,,,,2019-11-04
Legislators,QC,Saguenay--Lac-Saint-Jean,,,,2019-11-04
Legislators,QC,Côte-Nord,,,,2019-11-04
Legislators,QC,Nord-du-Québec,,,,2019-11-04
Legislators,ON,Ontario,29557,70271,147964,2019-11-04
Legislators,ON,Ottawa,,,,2019-11-04
Legislators,ON,Kingston--Pembroke,,,,2019-11-04
Legislators,ON,Muskoka--Kawarthas,,,,2019-11-04
Legislators,ON,Toronto,,,,2019-11-04
Legislators,ON,Kitchener--Waterloo--Barrie,,,,2019-11-04
Legislators,ON,Hamilton--Niagara Peninsula,,,,2019-11-04
Legislators,ON,London,,,,2019-11-04
Legislators,ON,Windsor--Sarnia,,,,2019-11-04
Legislators,ON,Stratford--Bruce Peninsula,,,,2019-11-04
Legislators,ON,Northeast,,,,2019-11-04
Legislators,ON,Northwest,,,,2019-11-04
Legislators,MB,Manitoba,24535,53680,98750,2019-11-04
Legislators,MB,Southeast,,,,2019-11-04
Legislators,MB,South Central,,,,2019-11-04
Legislators,MB,Southwest,,,,2019-11-04
Legislators,MB,North Central,,,,2019-11-04
Legislators,MB,Winnipeg,,,,2019-11-04
Legislators,MB,Interlake,,,,2019-11-04
Legislators,MB,Parklands,,,,2019-11-04
Legislators,MB,North,24535,45848,64969,2019-11-04
Legislators,SK,Saskatchewan,23899,51518,142704,2019-11-04
Legislators,SK,Regina--Moose Mountain,,,,2019-11-04
Legislators,SK,Swift Current--Moose Jaw,,,,2019-11-04
Legislators,SK,Saskatoon--Biggar,,,,2019-11-04
Legislators,SK,Yorkton--Melville,,,,2019-11-04
Legislators,SK,Prince Albert,23899,48896,105438,2019-11-04
Legislators,SK,Northern,,,,2019-11-04
Legislators,AB,Alberta,,,,2019-11-04
Legislators,AB,Lethbridge--Medicine Hat,,,,2019-11-04
Legislators,AB,Camrose--Drumheller,,,,2019-11-04
Legislators,AB,Calgary,,,,2019-11-04
Legislators,AB,Banff--Jasper--Rocky Mountain House,,,,2019-11-04
Legislators,AB,Red Deer,,,,2019-11-04
Legislators,AB,Edmonton,,,,2019-11-04
Legislators,AB,Athabasca--Grande Prairie--Peace River,,,,2019-11-04
Legislators,AB,Wood Buffalo--Cold Lake,,,,2019-11-04
Legislators,BC,British Columbia,29168,65769,144465,2019-11-04
Legislators,BC,Vancouver Island and Coast,,,,2019-11-04
Legislators,BC,Lower Mainland,,,,2019-11-04
Legislators,BC,Thompson--Okanagan,,,,2019-11-04
Legislators,BC,Kootenay,,,,2019-11-04
Legislators,BC,Cariboo,,,,2019-11-04
Legislators,BC,North Coast,,,,2019-11-04
Legislators,BC,Nechako,,,,2019-11-04
Legislators,BC,Northeast,,,,2019-11-04
Legislators,YK,Yukon Territory,,,,2019-11-04
Legislators,NW,Northwest Territories,48293,103029,168710,2019-11-04
Legislators,NU,Nunavut,,,,2019-11-04
Senior government managers and officials,NA,National,22.5,40.38,89.14,2019-11-04
Senior government managers and officials,NL,Newfoundland and Labrador,15,35,68.27,2019-11-04
Senior government managers and officials,NL,Avalon Peninsula,,,,2019-11-04
Senior government managers and officials,NL,South Coast--Burin Peninsula,,,,2019-11-04
Senior government managers and officials,NL,West Coast--Northern Peninsula--Labrador,,,,2019-11-04
Senior government managers and officials,NL,Notre Dame--Central Bonavista Bay,,,,2019-11-04
Senior government managers and officials,PE,Prince Edward Island,18.71,45.6,83.17,2019-11-04
Senior government managers and officials,NS,Nova Scotia,18.71,45.6,83.17,2019-11-04
Senior government managers and officials,NS,Cape Breton,,,,2019-11-04
Senior government managers and officials,NS,North Shore,,,,2019-11-04
Senior government managers and officials,NS,Annapolis Valley,,,,2019-11-04
Senior government managers and officials,NS,Southern,,,,2019-11-04
Senior government managers and officials,NS,Halifax,,,,2019-11-04
Senior government managers and officials,NB,New Brunswick,18.71,45.6,83.17,2019-11-04
Senior government managers and officials,NB,Campbellton--Miramichi,,,,2019-11-04
Senior government managers and officials,NB,Moncton--Richibucto,,,,2019-11-04
Senior government managers and officials,NB,Saint John--St. Stephen,,,,2019-11-04
Senior government managers and officials,NB,Fredericton--Oromocto,,,,2019-11-04
Senior government managers and officials,NB,Edmundston--Woodstock,,,,2019-11-04
Senior government managers and officials,QC,Québec,24.64,34.07,67.31,2019-11-04
Senior government managers and officials,QC,Gaspésie--Îles-de-la-Madeleine,,,,2019-11-04
Senior government managers and officials,QC,Bas-Saint-Laurent,,,,2019-11-04
Senior government managers and officials,QC,Capitale-Nationale,,,,2019-11-04
Senior government managers and officials,QC,Chaudière-Appalaches,21.43,34.15,43.14,2019-11-04
Senior government managers and officials,QC,Estrie,,,,2019-11-04
Senior government managers and officials,QC,Centre-du-Québec,,,,2019-11-04
Senior government managers and officials,QC,Montérégie,24.64,34.07,67.31,2019-11-04
Senior government managers and officials,QC,Montréal,,,,2019-11-04
Senior government managers and officials,QC,Laval,,,,2019-11-04
Senior government managers and officials,QC,Lanaudière,,,,2019-11-04
Senior government managers and officials,QC,Laurentides,,,,2019-11-04
Senior government managers and officials,QC,Outaouais,23.63,35.36,72,2019-11-04
Senior government managers and officials,QC,Abitibi-Témiscamingue,,,,2019-11-04
Senior government managers and officials,QC,Mauricie,,,,2019-11-04
Senior government managers and officials,QC,Saguenay--Lac-Saint-Jean,24.64,34.07,67.31,2019-11-04
Senior government managers and officials,QC,Côte-Nord,,,,2019-11-04
Senior government managers and officials,QC,Nord-du-Québec,,,,2019-11-04
Senior government managers and officials,ON,Ontario,28.76,57.98,101.73,2019-11-04
Senior government managers and officials,ON,Ottawa,,,,2019-11-04
Senior government managers and officials,ON,Kingston--Pembroke,,,,2019-11-04
Senior government managers and officials,ON,Muskoka--Kawarthas,,,,2019-11-04
Senior government managers and officials,ON,Toronto,,,,2019-11-04
Senior government managers and officials,ON,Kitchener--Waterloo--Barrie,,,,2019-11-04
Senior government managers and officials,ON,Hamilton--Niagara Peninsula,,,,2019-11-04
Senior government managers and officials,ON,London,,,,2019-11-04
Senior government managers and officials,ON,Windsor--Sarnia,,,,2019-11-04
Senior government managers and officials,ON,Stratford--Bruce Peninsula,,,,2019-11-04
Senior government managers and officials,ON,Northeast,,,,2019-11-04
